Study_Hours;Attendance_Percent;Assignments_Completed;Previous_Score;Sleep_Hours;Pass
9.87;70.7;10;66.7;7.1;1
11.63;76.7;9.5;64.4;6.2;1
7.49;89.9;8.9;57.8;7.1;1
1.17;76.8;7.3;60.4;5.1;0
3.61;82;6.4;71.2;6.3;1
10.02;82.8;8.4;55.4;9.9;1
5;71.5;6.2;54.9;4.6;0
9.89;75.7;4.8;70.9;6.2;1
4.91;87.3;8.4;65.2;7.7;1
3.47;69.5;7.8;63.4;8.4;1
4.95;94.1;10;61.2;9.6;1
3.06;87.1;6.1;56.9;8.9;1
2.62;88.7;9.1;63.2;8.4;1
5.96;77.1;6.4;63.1;5.7;1
11.75;73.3;7.5;80.3;9.4;1
11.28;87;8.3;75.6;8;1
9.38;100;7.7;58.7;5.9;1
9.26;89.9;6.1;57.9;6.2;1
8.1;74.9;9;70.8;8.8;1
8.99;62.9;5.5;66.8;6.9;1
4.82;78.2;9.9;83;7.4;1
10.62;76.4;3.9;55.2;5.2;1
9.62;70;9.3;72.1;6.2;1
9.63;74.7;6.2;52.8;8;1
5.81;94.7;6.6;75.7;6.8;0
5.49;74.2;4.3;70.6;4.8;1
10.57;83.7;7.2;77.6;5.6;1
11.27;92.5;7.9;67.6;6.6;1
10.71;91;8.8;75.2;6;1
6.99;89.4;9.4;70.2;6.2;1
2.7;71.2;7.2;68.3;7;1
7.41;86.8;7.6;83.7;7.1;1
3.53;59.7;8.2;82.3;8.7;1
10.62;68.7;8.1;84.1;8.5;1
11.36;87.8;10;75.6;8.3;1
7.42;90;7.9;65.5;6;1
8.21;90.6;6.1;58.5;7.5;1
2.64;83.5;8.6;65.1;6.4;1
3.63;88.4;4.3;55.7;9.2;1
10.82;77.8;5.3;60.1;6;1
9.87;69.6;7.1;69.3;6.8;1
9.62;83.9;7.4;67.1;7.9;1
1.74;94.9;9.8;69;6.8;0
2.86;98.8;7.7;71;5.5;1
8.47;87.3;7.1;84.9;6.2;1
8.71;67.6;8.9;65.7;9.3;1
5.2;83.2;8.6;49.2;7.6;1
4.52;80.3;8.6;71.8;7.6;1
7.48;75;9.4;74.4;8.2;1
2.06;83.4;8.9;75.6;7.8;1
4.89;73.6;7.5;97.1;4.8;1
6.65;78.8;6.6;51.7;7.4;1
3.6;90.6;5.2;58.6;5.2;1
1.54;69.6;8.8;71.1;8.7;1
6.92;90;7.8;74.7;7.9;1
3.43;76.6;9.1;76.2;6.4;1
5.64;84.2;7.3;86.2;6.8;1
2.68;99.6;8.3;59.9;5.2;1
7.7;75.3;7.8;79.1;5.1;1
3.96;79.7;4.9;69.6;6.9;1
3.3;90.5;6.9;86.5;8.6;1
11.81;87.4;3.8;61.6;5.1;1
2.46;100;7.6;67.5;7.3;1
11.24;90.2;10;64.3;7.1;1
6.06;82.3;9.5;61.2;7.3;1
7.88;72.7;10;84.2;8;1
10.55;84.7;7.1;74.3;8.1;1
